run_index,trial_id,repeat_id,velocity_ratio,acceleration_ratio,blend_ratio,time_s,position_error_mm,energy_proxy,smoothness_index
25,56,2,22,71,15,13.915425443649292,2.3475983834293945,4.18088957454443,0.8965272148251816
26,66,1,95,96,49,5.766064071655274,2.255172903697948,7.860875148887636,0.705062970661881
27,8,1,84,52,16,8.824517154693604,2.4091272493247007,7.419654023666381,0.8271931902970865
28,32,2,64,23,13,17.009033107757567,2.3475983834293945,7.416788886637687,0.9103502849178592
29,52,0,89,73,93,6.780178689956665,2.3775723595775387,7.177158152253628,0.816237612498645
30,17,0,21,55,96,15.941199207305909,2.3475983834293945,3.114113265147209,0.90976769016651
31,57,0,94,86,84,6.307202243804932,2.3775723595775387,7.905447292385102,0.7578766339357362
32,52,2,89,73,93,6.709553384780884,2.3473347552371777,7.102397735459804,0.8128759008761492
33,12,2,84,42,34,9.845018529891968,2.3475983834293945,7.814975709028244,0.8565102765732286
34,63,1,24,60,87,12.980949544906617,2.3775723595775387,3.084273611869812,0.8903690195498148
35,18,0,79,34,5,11.847002410888672,2.4091272493247007,8.078470943984986,0.8863944601667225
36,3,0,58,89,60,6.271991634368897,2.3775723595775387,4.593920272593499,0.7827711716377918
37,39,1,40,66,82,7.768581533432007,2.3475983834293945,2.9349701033306124,0.8479885415742576
38,51,2,34,54,98,9.072684907913208,2.3475983834293945,2.371599834928513,0.8689258872109167
39,69,2,74,93,35,5.754486703872681,2.244732858416631,5.6396846941304215,0.742447418745503
40,49,1,87,98,51,5.29952564239502,2.2278297503656215,6.55604317220688,0.7236277006637846
41,1,1,43,71,80,7.534374618530274,2.3775723595775387,3.292144989566803,0.8345994115033841
42,15,1,85,70,58,6.768955135345459,2.4091272493247007,6.548964093446732,0.8299672684025005
43,11,0,73,67,75,7.28550090789795,2.4091272493247007,5.517674112596512,0.8101636250580995
44,1,0,43,71,80,7.532295608520508,2.3775723595775387,3.291236566143036,0.8341860374160582
45,9,2,68,59,22,7.786100769042969,2.3475983834293945,4.955463834457397,0.8255184276567693
46,67,0,51,94,54,6.276716613769532,2.4091272493247007,4.405627391204835,0.7869317689328066
47,28,2,29,50,30,10.867452764511109,2.3475983834293945,2.272384373059273,0.8881804857257801
48,49,0,87,98,51,5.4721673965454105,2.17860534621469,6.7696182862663274,0.7185575585786697
49,2,2,35,56,11,9.3241201877594,2.3475983834293945,2.6042267684412,0.8664144898367734
50,26,1,97,87,95,6.270738983154297,2.3475983834293945,8.273299477424622,0.7557625175303092
51,29,1,30,62,65,9.318021202087403,2.3475983834293945,2.629545583229065,0.8609343612995033
52,22,1,46,100,29,5.737997913360596,2.383665357016521,4.0831593151474,0.738508355098429
53,31,1,81,60,2,7.784207963943482,2.3475983834293945,6.508376278653145,0.839015984466991
54,65,2,39,35,90,11.886468076705933,2.4091272493247007,2.5359779641652107,0.8834233108747466
55,40,1,48,22,40,17.38832583427429,2.3775723595775387,4.427067757406234,0.9175302655332594
56,9,0,68,59,22,7.7949518203735355,2.319266616410973,4.9610970860767365,0.8213088770479482
57,44,0,62,97,41,5.737108612060547,2.2278297503656215,4.9043672970199585,0.7503756800878459
58,31,2,81,60,2,8.013289833068848,2.3475983834293945,6.699911629428865,0.8340999724846753
59,18,2,79,34,5,11.925753974914551,2.4091272493247007,8.132171635494233,0.882935135953507
60,61,1,31,63,46,9.282686853408814,2.3475983834293945,2.734215412671566,0.8687792165219731
61,50,2,32,40,26,11.332506084442139,2.3475983834293945,2.0670491098022463,0.8769644923241025
62,61,0,31,63,46,9.224481010437012,2.3475983834293945,2.7170708816242217,0.8716404299589512
63,41,0,54,91,79,6.28243317604065,2.3775723595775387,4.433198970673085,0.7238090805209906
64,0,2,68,21,92,18.009534740447997,2.3475983834293945,8.724719105010031,0.9030986767598108
